"mouse";"Set ID";"FITC Rank";"Lgth Rank";"Rel len";"Total Len";"Len";"No_foci";"F1";"F2";"round F1";"round F2"
2;"m2-2 s5 lower";1;3;0.0679801381;198.60;13.50;1;0.62;;0.62;
2;"m2-2 s5 lower";2;2;0.0733049718;198.60;14.56;2;0.26;0.95;0.26;0.95
2;"m2-2 s5 lower";3;5;0.0629720982;198.60;12.51;1;0.24;;0.24;
2;"m2-2 s5 lower";4;7;0.0608456740;198.60;12.08;1;0.72;;0.72;
2;"m2-2 s5 lower";5;4;0.0667862756;198.60;13.26;2;0.20;0.84;0.2;0.84
2;"m2-2 s5 lower";6;8;0.0566090299;198.60;11.24;1;0.53;;0.53;
2;"m2-2 s5 lower";7;1;0.0786138344;198.60;15.61;1;0.96;;0.96;
2;"m2-2 s5 lower";8;11;0.0497989794;198.60;9.89;1;0.81;;0.81;
2;"m2-2 s5 lower";9;10;0.0550470923;198.60;10.93;1;0.61;;0.61;
2;"m2-2 s5 lower";10;9;0.0553669084;198.60;11.00;1;0.24;;0.24;
2;"m2-2 s5 lower";11;6;0.0609587819;198.60;12.11;2;0.41;0.95;0.41;0.95
2;"m2-2 s5 lower";12;13;0.0437927573;198.60;8.70;1;0.84;;0.84;
2;"m2-2 s5 lower";13;16;0.0403651016;198.60;8.02;1;0.99;;0.99;
2;"m2-2 s5 lower";14;12;0.0465081031;198.60;9.24;1;0.97;;0.97;
2;"m2-2 s5 lower";15;15;0.0422533658;198.60;8.39;1;0.92;;0.92;
2;"m2-2 s5 lower";16;17;0.0344135285;198.60;6.83;1;0.89;;0.89;
